Season,Name,Conference,W,L,T,PCT
2019,Columbia,Ivy League,19.0,23.0,0.0,0.452
2022,Columbia,Ivy League,32.0,18.0,0.0,0.64
2023,Columbia,Ivy League,23.0,22.0,0.0,0.511
2024,Columbia,Ivy League,26.0,18.0,0.0,0.591
2025,Columbia,Ivy League,30.0,19.0,0.0,0.6122448979591837
2017,Coppin St.,Northeast,11.0,31.0,0.0,0.262
2018,Coppin St.,Northeast,21.0,24.0,0.0,0.467
2019,Coppin St.,Northeast,24.0,24.0,0.0,0.5
2021,Coppin St.,Northeast,10.0,29.0,0.0,0.256
2022,Coppin St.,Northeast,24.0,30.0,0.0,0.444
2023,Coppin St.,Northeast,21.0,31.0,0.0,0.404
2024,Coppin St.,Northeast,12.0,33.0,0.0,0.267
2025,Coppin St.,Northeast,15.0,34.0,0.0,0.30612244897959184
2017,Cornell,Ivy League,21.0,17.0,0.0,0.553
2018,Cornell,Ivy League,14.0,22.0,1.0,0.392
2019,Cornell,Ivy League,14.0,24.0,0.0,0.368
2022,Cornell,Ivy League,11.0,25.0,0.0,0.306
2023,Cornell,Ivy League,9.0,26.0,0.0,0.257
2024,Cornell,Ivy League,17.0,21.0,0.0,0.447
2025,Cornell,Ivy League,,,,
2017,Creighton,Big East,24.0,25.0,0.0,0.49
2018,Creighton,Big East,34.0,16.0,0.0,0.68
2019,Creighton,Big East,41.0,13.0,0.0,0.759
2021,Creighton,Big East,24.0,15.0,0.0,0.615
2022,Creighton,Big East,31.0,18.0,0.0,0.633
2023,Creighton,Big East,25.0,24.0,0.0,0.51
2024,Creighton,Big East,35.0,17.0,0.0,0.673
2025,Creighton,Big East,43.0,16.0,0.0,0.7288135593220338
2017,DBU,Conference USA,42.0,21.0,0.0,0.667
2018,DBU,Conference USA,42.0,21.0,0.0,0.667
2019,DBU,Conference USA,43.0,20.0,0.0,0.683
2021,DBU,Conference USA,41.0,18.0,0.0,0.695
2022,DBU,Conference USA,34.0,24.0,1.0,0.585
2023,DBU,Conference USA,47.0,16.0,0.0,0.746
2024,DBU,Conference USA,45.0,15.0,0.0,0.75
2025,DBU,Conference USA,41.0,18.0,0.0,0.6949152542372882
2017,Dartmouth,Ivy League,22.0,17.0,1.0,0.563
2018,Dartmouth,Ivy League,17.0,22.0,1.0,0.438
2019,Dartmouth,Ivy League,15.0,26.0,0.0,0.366
2022,Dartmouth,Ivy League,24.0,19.0,0.0,0.558
